open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
9.3,9.3,9.3,9.3,2400000,2020-03-24 01:00:00.000000,2020-03-24,GHIV,9.6,9.72,9.78,9.77,0.03,0.04,0.05,0.05
9.6,9.6,9.6,9.6,100000,2020-04-08 01:00:00.000000,2020-04-08,GHIV,9.61,9.8,9.8,9.75,0.0,0.02,0.02,0.02
9.61,9.61,9.61,9.61,10002,2020-04-09 01:00:00.000000,2020-04-09,GHIV,9.72,9.78,9.77,9.9,0.01,0.02,0.02,0.03
9.8,9.8,9.72,9.72,6304,2020-04-15 01:00:00.000000,2020-04-15,GHIV,9.8,9.8,9.75,10.15,0.0,0.0,-0.01,0.04
9.8,9.8,9.8,9.8,618,2020-04-16 01:00:00.000000,2020-04-16,GHIV,9.78,9.77,9.9,9.78,-0.0,-0.0,0.01,-0.0
9.78,9.78,9.78,9.78,50012,2020-04-21 01:00:00.000000,2020-04-21,GHIV,9.8,9.75,10.15,10.26,0.0,-0.0,0.04,0.05
9.81,9.81,9.8,9.8,25429,2020-04-22 01:00:00.000000,2020-04-22,GHIV,9.77,9.9,9.78,10.2,-0.0,0.01,-0.0,0.04
9.77,9.77,9.77,9.77,124,2020-04-23 01:00:00.000000,2020-04-23,GHIV,9.75,10.15,10.26,10.0,-0.0,0.04,0.05,0.02
9.77,9.77,9.75,9.75,13516,2020-04-27 01:00:00.000000,2020-04-27,GHIV,9.9,9.78,10.2,10.0,0.01,0.0,0.04,0.02
10.05,10.05,9.75,9.9,62756,2020-04-28 01:00:00.000000,2020-04-28,GHIV,10.15,10.26,10.0,10.0,0.01,0.02,-0.0,-0.0
10.15,10.15,10.15,10.15,200,2020-04-30 01:00:00.000000,2020-04-30,GHIV,9.78,10.2,10.0,10.0,-0.04,0.01,-0.01,-0.01
10.15,10.15,9.78,9.78,15107,2020-05-01 01:00:00.000000,2020-05-01,GHIV,10.26,10.0,10.0,10.05,0.01,-0.01,-0.01,-0.01
10.26,10.26,10.26,10.26,256,2020-05-04 01:00:00.000000,2020-05-04,GHIV,10.2,10.0,10.0,9.96,-0.01,-0.03,-0.03,-0.03
10.2,10.2,10.04,10.2,1125,2020-05-05 01:00:00.000000,2020-05-05,GHIV,10.0,10.0,10.05,10.05,-0.02,-0.02,-0.01,-0.01
10.0,10.0,10.0,10.0,21459,2020-05-07 01:00:00.000000,2020-05-07,GHIV,10.0,10.0,9.96,10.05,0.0,0.0,-0.0,0.01
10.0,10.0,10.0,10.0,9100,2020-05-08 01:00:00.000000,2020-05-08,GHIV,10.0,10.05,10.05,10.05,0.0,0.01,0.0,0.01
10.0,10.0,10.0,10.0,414,2020-05-11 01:00:00.000000,2020-05-11,GHIV,10.0,9.96,10.05,10.05,0.0,-0.0,0.01,0.0
10.05,10.05,10.0,10.0,7710,2020-05-12 01:00:00.000000,2020-05-12,GHIV,10.05,10.05,10.05,9.98,0.0,-0.0,0.0,-0.01
10.0,10.05,10.0,10.05,3283,2020-05-13 01:00:00.000000,2020-05-13,GHIV,9.96,10.05,10.05,10.04,-0.0,0.01,0.0,0.0
10.0,10.0,9.96,9.96,700,2020-05-14 01:00:00.000000,2020-05-14,GHIV,10.05,10.05,9.98,10.04,0.0,0.01,-0.0,0.0
10.05,10.05,10.05,10.05,405,2020-05-19 01:00:00.000000,2020-05-19,GHIV,10.05,10.05,10.04,10.05,0.0,-0.0,-0.0,0.0
10.05,10.05,10.05,10.05,850,2020-05-20 01:00:00.000000,2020-05-20,GHIV,10.05,9.98,10.04,10.02,0.0,-0.01,-0.0,-0.0
10.05,10.05,10.05,10.05,302,2020-05-26 01:00:00.000000,2020-05-26,GHIV,10.05,10.04,10.05,9.95,-0.0,-0.0,0.0,-0.01
10.05,10.05,10.05,10.05,2534,2020-05-28 01:00:00.000000,2020-05-28,GHIV,9.98,10.04,10.02,10.04,-0.01,-0.0,-0.0,-0.0
10.0,10.0,9.98,9.98,423,2020-05-29 01:00:00.000000,2020-05-29,GHIV,10.04,10.05,9.95,10.05,0.0,0.01,-0.01,0.01
10.0,10.04,9.94,10.04,317440,2020-06-01 01:00:00.000000,2020-06-01,GHIV,10.04,10.02,10.04,10.0,0.0,0.0,0.0,0.0
10.04,10.05,9.95,10.04,6897,2020-06-02 01:00:00.000000,2020-06-02,GHIV,10.05,9.95,10.05,10.04,0.0,-0.01,0.0,0.0
10.05,10.05,10.05,10.05,213,2020-06-03 01:00:00.000000,2020-06-03,GHIV,10.02,10.04,10.0,10.0,-0.0,-0.0,-0.0,-0.0
10.02,10.02,10.02,10.02,350,2020-06-04 01:00:00.000000,2020-06-04,GHIV,9.95,10.05,10.04,10.1,-0.01,0.0,0.0,0.01
10.08,10.08,9.95,9.95,3349,2020-06-05 01:00:00.000000,2020-06-05,GHIV,10.04,10.0,10.0,10.0,-0.0,-0.01,-0.01,-0.01
10.04,10.04,10.04,10.04,100,2020-06-09 01:00:00.000000,2020-06-09,GHIV,10.05,10.04,10.1,10.03,0.0,-0.0,0.01,-0.0
10.05,10.05,10.05,10.05,20759,2020-06-10 01:00:00.000000,2020-06-10,GHIV,10.0,10.0,10.0,10.02,-0.0,-0.0,-0.0,-0.0
10.05,10.05,9.95,10.0,102423,2020-06-11 01:00:00.000000,2020-06-11,GHIV,10.04,10.1,10.03,10.09,-0.0,0.0,-0.0,0.0
10.05,10.05,9.95,10.04,2009,2020-06-12 01:00:00.000000,2020-06-12,GHIV,10.0,10.0,10.02,10.23,-0.0,-0.0,-0.0,0.02
10.05,10.05,10.0,10.0,853,2020-06-16 01:00:00.000000,2020-06-16,GHIV,10.1,10.03,10.09,10.24,0.0,-0.0,0.0,0.02
10.1,10.1,10.1,10.1,6408,2020-06-17 01:00:00.000000,2020-06-17,GHIV,10.0,10.02,10.23,10.04,-0.01,-0.01,0.01,-0.01
10.0,10.04,10.0,10.0,4801,2020-06-18 01:00:00.000000,2020-06-18,GHIV,10.03,10.09,10.24,10.14,0.0,0.01,0.02,0.01
10.13,10.15,10.0,10.03,20281,2020-06-22 01:00:00.000000,2020-06-22,GHIV,10.02,10.23,10.04,10.2,-0.01,0.01,-0.01,0.01
10.01,10.02,10.0,10.02,710,2020-06-23 01:00:00.000000,2020-06-23,GHIV,10.09,10.24,10.14,10.2,0.01,0.02,0.01,0.02
10.09,10.09,10.09,10.09,176,2020-06-24 01:00:00.000000,2020-06-24,GHIV,10.23,10.04,10.2,10.2,0.01,-0.0,0.01,0.01
10.23,10.23,10.23,10.23,10000,2020-06-25 01:00:00.000000,2020-06-25,GHIV,10.24,10.14,10.2,10.35,0.0,-0.01,-0.0,0.01
10.34,10.34,10.18,10.24,964,2020-06-26 01:00:00.000000,2020-06-26,GHIV,10.04,10.2,10.2,10.45,-0.03,-0.01,-0.01,0.01
10.04,10.04,10.04,10.04,300,2020-06-29 01:00:00.000000,2020-06-29,GHIV,10.14,10.2,10.35,10.55,0.01,0.02,0.03,0.05
10.16,10.17,10.07,10.14,17172,2020-06-30 01:00:00.000000,2020-06-30,GHIV,10.2,10.2,10.45,,0.0,0.0,0.03,
10.07,10.47,10.07,10.2,33894,2020-07-01 01:00:00.000000,2020-07-01,GHIV,10.2,10.35,10.55,,0.01,0.03,0.05,
10.21,10.27,10.2,10.2,11525,2020-07-02 01:00:00.000000,2020-07-02,GHIV,10.2,10.45,,,-0.0,0.02,,
10.25,10.3,10.2,10.2,800,2020-07-09 01:00:00.000000,2020-07-09,GHIV,10.35,10.55,,,0.01,0.03,,
10.2,10.35,10.2,10.35,24866,2020-07-10 01:00:00.000000,2020-07-10,GHIV,10.45,,,,0.02,,,
10.3,10.53,10.29,10.45,38912,2020-07-13 01:00:00.000000,2020-07-13,GHIV,10.55,,,,0.02,,,
