open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
1.0,1.05,1.0,1.0,1105100,2020-01-13 01:00:00.000000,2020-01-13,PTACW,1.0,0.86,0.95,1.25,0.0,-0.14,-0.05,0.25
1.0,1.0,1.0,1.0,100000,2020-01-17 01:00:00.000000,2020-01-17,PTACW,0.9,0.95,1.26,1.24,-0.1,-0.05,0.26,0.24
0.9,0.9,0.9,0.9,100,2020-01-22 01:00:00.000000,2020-01-22,PTACW,0.86,0.95,1.25,1.5,-0.04,0.06,0.39,0.67
0.86,0.86,0.86,0.86,37875,2020-01-31 01:00:00.000000,2020-01-31,PTACW,0.95,1.26,1.24,1.46,0.1,0.46,0.44,0.7
0.95,0.95,0.95,0.95,1800,2020-02-05 01:00:00.000000,2020-02-05,PTACW,0.95,1.25,1.5,1.49,0.0,0.32,0.58,0.57
0.9,0.95,0.9,0.95,27400,2020-02-06 01:00:00.000000,2020-02-06,PTACW,1.26,1.24,1.46,1.05,0.4,0.38,0.62,0.17
1.25,1.5,1.25,1.26,13200,2020-02-11 01:00:00.000000,2020-02-11,PTACW,1.25,1.5,1.49,0.87,0.0,0.2,0.19,-0.3
1.25,1.25,1.25,1.25,5000,2020-02-21 01:00:00.000000,2020-02-21,PTACW,1.24,1.46,1.05,0.75,-0.01,0.17,-0.16,-0.4
1.05,1.25,1.05,1.24,358325,2020-03-02 01:00:00.000000,2020-03-02,PTACW,1.5,1.49,0.87,0.7,0.43,0.42,-0.17,-0.33
1.5,1.5,1.5,1.5,102,2020-03-06 01:00:00.000000,2020-03-06,PTACW,1.46,1.05,0.75,0.65,-0.03,-0.3,-0.5,-0.57
1.08,1.46,0.74,1.46,1300,2020-03-12 01:00:00.000000,2020-03-12,PTACW,1.49,0.87,0.7,0.64,0.38,-0.19,-0.35,-0.41
0.9,1.49,0.9,1.49,1721,2020-03-13 01:00:00.000000,2020-03-13,PTACW,1.05,0.75,0.65,0.6,0.17,-0.17,-0.28,-0.33
1.05,1.05,1.05,1.05,100,2020-03-16 01:00:00.000000,2020-03-16,PTACW,0.87,0.7,0.64,0.75,-0.17,-0.33,-0.39,-0.29
0.87,0.87,0.87,0.87,100,2020-03-17 01:00:00.000000,2020-03-17,PTACW,0.75,0.65,0.6,0.75,-0.14,-0.25,-0.31,-0.14
0.75,0.75,0.75,0.75,100,2020-03-18 01:00:00.000000,2020-03-18,PTACW,0.7,0.64,0.75,0.75,-0.07,-0.15,0.0,0.0
0.71,0.71,0.7,0.7,10200,2020-03-23 01:00:00.000000,2020-03-23,PTACW,0.65,0.6,0.75,0.67,-0.08,-0.15,0.06,-0.06
0.21,0.65,0.21,0.65,5150,2020-04-02 01:00:00.000000,2020-04-02,PTACW,0.64,0.75,0.75,0.67,2.05,2.57,2.57,2.19
0.65,0.65,0.36,0.64,1313,2020-04-08 01:00:00.000000,2020-04-08,PTACW,0.6,0.75,0.67,0.67,-0.08,0.15,0.03,0.03
0.6,0.6,0.6,0.6,200,2020-04-14 01:00:00.000000,2020-04-14,PTACW,0.75,0.75,0.67,0.61,0.25,0.25,0.12,0.02
0.52,0.75,0.52,0.75,250400,2020-04-15 01:00:00.000000,2020-04-15,PTACW,0.75,0.67,0.67,0.59,0.43,0.28,0.28,0.12
0.75,0.75,0.75,0.75,265,2020-04-16 01:00:00.000000,2020-04-16,PTACW,0.75,0.67,0.61,0.65,0.0,-0.11,-0.19,-0.13
0.7,0.75,0.7,0.75,42985,2020-04-28 01:00:00.000000,2020-04-28,PTACW,0.67,0.67,0.59,0.65,-0.04,-0.04,-0.16,-0.07
0.65,0.67,0.51,0.67,34300,2020-05-04 01:00:00.000000,2020-05-04,PTACW,0.67,0.61,0.65,0.6,0.03,-0.06,0.0,-0.08
0.55,0.67,0.55,0.67,2910,2020-05-20 01:00:00.000000,2020-05-20,PTACW,0.67,0.59,0.65,0.62,0.22,0.07,0.18,0.13
0.67,0.67,0.67,0.67,1300,2020-05-27 01:00:00.000000,2020-05-27,PTACW,0.61,0.65,0.6,0.59,-0.09,-0.03,-0.11,-0.12
0.56,0.66,0.56,0.61,300,2020-05-28 01:00:00.000000,2020-05-28,PTACW,0.59,0.65,0.62,0.62,0.05,0.16,0.11,0.11
0.55,0.59,0.53,0.59,350800,2020-05-29 01:00:00.000000,2020-05-29,PTACW,0.65,0.6,0.59,0.62,0.18,0.09,0.07,0.13
0.65,0.65,0.65,0.65,461,2020-06-02 01:00:00.000000,2020-06-02,PTACW,0.65,0.62,0.62,0.61,0.0,-0.05,-0.05,-0.06
0.65,0.65,0.65,0.65,100,2020-06-04 01:00:00.000000,2020-06-04,PTACW,0.6,0.59,0.62,0.65,-0.08,-0.09,-0.05,0.0
0.6,0.6,0.6,0.6,200,2020-06-08 01:00:00.000000,2020-06-08,PTACW,0.62,0.62,0.61,0.62,0.04,0.04,0.02,0.04
0.6,0.62,0.6,0.62,9705,2020-06-10 01:00:00.000000,2020-06-10,PTACW,0.59,0.62,0.65,0.7,-0.02,0.03,0.08,0.17
0.58,0.6,0.58,0.59,86700,2020-06-11 01:00:00.000000,2020-06-11,PTACW,0.62,0.61,0.62,0.7,0.06,0.04,0.06,0.2
0.62,0.62,0.57,0.62,13600,2020-06-12 01:00:00.000000,2020-06-12,PTACW,0.62,0.65,0.7,0.7,0.0,0.05,0.13,0.13
0.62,0.62,0.62,0.62,53368,2020-06-15 01:00:00.000000,2020-06-15,PTACW,0.61,0.62,0.7,1.0,-0.02,0.0,0.13,0.61
0.61,0.61,0.61,0.61,38700,2020-06-16 01:00:00.000000,2020-06-16,PTACW,0.65,0.7,0.7,0.7,0.07,0.15,0.15,0.15
0.65,0.7,0.65,0.65,1500,2020-06-17 01:00:00.000000,2020-06-17,PTACW,0.62,0.7,1.0,1.2,-0.05,0.08,0.54,0.85
1.2,1.2,0.62,0.62,756,2020-06-19 01:00:00.000000,2020-06-19,PTACW,0.7,0.7,0.7,1.6,-0.42,-0.42,-0.42,0.33
0.65,0.7,0.63,0.7,33240,2020-06-23 01:00:00.000000,2020-06-23,PTACW,0.7,1.0,1.2,,0.08,0.54,0.85,
0.7,0.7,0.7,0.7,1000,2020-06-25 01:00:00.000000,2020-06-25,PTACW,0.7,0.7,1.6,,0.0,0.0,1.29,
0.7,0.7,0.7,0.7,1000,2020-06-26 01:00:00.000000,2020-06-26,PTACW,1.0,1.2,,,0.43,0.71,,
1.3,1.4,1.0,1.0,700,2020-06-29 01:00:00.000000,2020-06-29,PTACW,0.7,1.6,,,-0.46,0.23,,
0.72,0.72,0.7,0.7,4193,2020-06-30 01:00:00.000000,2020-06-30,PTACW,1.2,,,,0.67,,,
0.99,1.25,0.99,1.2,16099,2020-07-06 01:00:00.000000,2020-07-06,PTACW,1.6,,,,0.62,,,
1.3,1.61,1.25,1.6,76533,2020-07-10 01:00:00.000000,2020-07-10,PTACW,,,,,,,,
