open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
0.85,0.85,0.85,0.85,1000,2020-01-10 01:00:00.000000,2020-01-10,AMHCW,0.85,0.85,0.89,0.8,0.0,0.0,0.05,-0.06
0.85,0.85,0.85,0.85,150000,2020-01-13 01:00:00.000000,2020-01-13,AMHCW,0.85,0.9,0.84,0.77,0.0,0.06,-0.01,-0.09
0.85,0.85,0.85,0.85,20000,2020-01-17 01:00:00.000000,2020-01-17,AMHCW,0.85,0.89,0.8,0.73,0.0,0.05,-0.06,-0.14
0.85,0.85,0.85,0.85,118300,2020-01-21 01:00:00.000000,2020-01-21,AMHCW,0.9,0.84,0.77,0.74,0.06,-0.01,-0.09,-0.13
0.9,0.9,0.9,0.9,3300,2020-01-27 01:00:00.000000,2020-01-27,AMHCW,0.89,0.8,0.73,0.75,-0.01,-0.11,-0.19,-0.17
0.89,0.89,0.89,0.89,100,2020-02-14 01:00:00.000000,2020-02-14,AMHCW,0.84,0.77,0.74,0.75,-0.06,-0.13,-0.17,-0.16
0.84,0.84,0.84,0.84,100,2020-02-19 01:00:00.000000,2020-02-19,AMHCW,0.8,0.73,0.75,0.7,-0.05,-0.13,-0.11,-0.17
0.8,0.8,0.8,0.8,37500,2020-02-21 01:00:00.000000,2020-02-21,AMHCW,0.77,0.74,0.75,0.65,-0.04,-0.08,-0.06,-0.19
0.77,0.77,0.77,0.77,10000,2020-02-28 01:00:00.000000,2020-02-28,AMHCW,0.73,0.75,0.7,0.65,-0.05,-0.03,-0.09,-0.16
0.77,0.77,0.72,0.73,313600,2020-03-02 01:00:00.000000,2020-03-02,AMHCW,0.74,0.75,0.65,0.55,-0.04,-0.03,-0.16,-0.29
0.74,0.74,0.74,0.74,15800,2020-03-03 01:00:00.000000,2020-03-03,AMHCW,0.75,0.7,0.65,0.45,0.01,-0.05,-0.12,-0.39
0.75,0.75,0.75,0.75,10100,2020-03-04 01:00:00.000000,2020-03-04,AMHCW,0.75,0.65,0.55,0.58,0.0,-0.13,-0.27,-0.23
0.75,0.75,0.75,0.75,103750,2020-03-05 01:00:00.000000,2020-03-05,AMHCW,0.7,0.65,0.45,0.5,-0.07,-0.13,-0.4,-0.33
0.7,0.7,0.7,0.7,481,2020-03-10 01:00:00.000000,2020-03-10,AMHCW,0.65,0.55,0.58,0.5,-0.07,-0.21,-0.17,-0.29
0.55,0.65,0.55,0.65,548,2020-03-20 01:00:00.000000,2020-03-20,AMHCW,0.65,0.45,0.5,0.5,0.18,-0.18,-0.09,-0.09
0.65,0.65,0.65,0.65,16000,2020-03-31 01:00:00.000000,2020-03-31,AMHCW,0.55,0.58,0.5,0.5,-0.15,-0.11,-0.23,-0.23
0.55,0.55,0.55,0.55,10100,2020-04-02 01:00:00.000000,2020-04-02,AMHCW,0.45,0.5,0.5,0.64,-0.18,-0.09,-0.09,0.16
0.47,0.47,0.45,0.45,6658,2020-04-03 01:00:00.000000,2020-04-03,AMHCW,0.58,0.5,0.5,0.65,0.23,0.06,0.06,0.38
0.58,0.58,0.58,0.58,100,2020-04-08 01:00:00.000000,2020-04-08,AMHCW,0.5,0.5,0.64,0.62,-0.14,-0.14,0.1,0.07
0.5,0.5,0.47,0.5,61800,2020-04-09 01:00:00.000000,2020-04-09,AMHCW,0.5,0.5,0.65,0.65,0.0,0.0,0.3,0.3
0.5,0.5,0.5,0.5,63058,2020-04-13 01:00:00.000000,2020-04-13,AMHCW,0.5,0.64,0.62,0.65,0.0,0.28,0.24,0.3
0.5,0.5,0.5,0.5,30000,2020-04-23 01:00:00.000000,2020-04-23,AMHCW,0.5,0.65,0.65,0.61,0.0,0.3,0.3,0.21
0.5,0.5,0.5,0.5,500,2020-05-08 01:00:00.000000,2020-05-08,AMHCW,0.64,0.62,0.65,0.6,0.28,0.24,0.3,0.19
0.64,0.64,0.64,0.64,160,2020-05-14 01:00:00.000000,2020-05-14,AMHCW,0.65,0.65,0.61,0.6,0.02,0.02,-0.05,-0.06
0.65,0.65,0.65,0.65,1150,2020-05-15 01:00:00.000000,2020-05-15,AMHCW,0.62,0.65,0.6,0.55,-0.05,-0.0,-0.08,-0.15
0.64,0.64,0.62,0.62,1000,2020-05-28 01:00:00.000000,2020-05-28,AMHCW,0.65,0.61,0.6,0.55,0.02,-0.05,-0.06,-0.14
0.63,0.65,0.63,0.65,1100,2020-05-29 01:00:00.000000,2020-05-29,AMHCW,0.65,0.6,0.55,0.55,0.03,-0.05,-0.13,-0.13
0.65,0.65,0.65,0.65,1800,2020-06-09 01:00:00.000000,2020-06-09,AMHCW,0.61,0.6,0.55,0.75,-0.07,-0.08,-0.15,0.15
0.65,0.65,0.61,0.61,1810,2020-06-10 01:00:00.000000,2020-06-10,AMHCW,0.6,0.55,0.55,0.7,-0.08,-0.15,-0.15,0.08
