open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
4.5,4.5,2.61,2.75,234225,2020-06-17 01:00:00.000000,2020-06-17,LGHL,2.69,2.2,2.18,2.03,-0.4,-0.51,-0.52,-0.55
2.9,3.63,2.2,2.69,287461,2020-06-18 01:00:00.000000,2020-06-18,LGHL,2.43,2.1,2.2,2.0,-0.16,-0.28,-0.24,-0.31
2.69,2.69,2.31,2.43,75718,2020-06-19 01:00:00.000000,2020-06-19,LGHL,2.2,2.18,2.03,3.05,-0.18,-0.19,-0.25,0.13
2.23,2.26,1.9,2.2,132340,2020-06-22 01:00:00.000000,2020-06-22,LGHL,2.1,2.2,2.0,2.95,-0.06,-0.01,-0.1,0.32
2.25,2.41,2.07,2.1,81919,2020-06-23 01:00:00.000000,2020-06-23,LGHL,2.18,2.03,3.05,2.55,-0.03,-0.1,0.36,0.13
2.22,2.9,2.1,2.18,592767,2020-06-24 01:00:00.000000,2020-06-24,LGHL,2.2,2.0,2.95,2.49,-0.01,-0.1,0.33,0.12
2.39,2.56,1.93,2.2,193070,2020-06-25 01:00:00.000000,2020-06-25,LGHL,2.03,3.05,2.55,2.32,-0.15,0.28,0.07,-0.03
2.16,2.19,1.85,2.03,98687,2020-06-26 01:00:00.000000,2020-06-26,LGHL,2.0,2.95,2.49,2.39,-0.07,0.37,0.15,0.11
2.08,2.14,1.91,2.0,76331,2020-06-29 01:00:00.000000,2020-06-29,LGHL,3.05,2.55,2.32,2.57,0.47,0.23,0.12,0.24
1.94,3.44,1.74,3.05,1285860,2020-06-30 01:00:00.000000,2020-06-30,LGHL,2.95,2.49,2.39,3.2,0.52,0.28,0.23,0.65
2.75,4.1,2.32,2.95,4606517,2020-07-01 01:00:00.000000,2020-07-01,LGHL,2.55,2.32,2.57,2.91,-0.07,-0.16,-0.07,0.06
2.6,3.12,2.48,2.55,308092,2020-07-02 01:00:00.000000,2020-07-02,LGHL,2.49,2.39,3.2,3.04,-0.04,-0.08,0.23,0.17
2.85,2.85,2.15,2.49,310196,2020-07-06 01:00:00.000000,2020-07-06,LGHL,2.32,2.57,2.91,,-0.19,-0.1,0.02,
2.31,2.48,2.12,2.32,119056,2020-07-07 01:00:00.000000,2020-07-07,LGHL,2.39,3.2,3.04,,0.03,0.39,0.32,
2.23,2.58,2.22,2.39,202165,2020-07-08 01:00:00.000000,2020-07-08,LGHL,2.57,2.91,,,0.15,0.3,,
2.35,2.8,2.23,2.57,438173,2020-07-09 01:00:00.000000,2020-07-09,LGHL,3.2,3.04,,,0.36,0.29,,
2.62,3.33,2.62,3.2,499210,2020-07-10 01:00:00.000000,2020-07-10,LGHL,2.91,,,,0.11,,,
3.11,3.22,2.85,2.91,224671,2020-07-13 01:00:00.000000,2020-07-13,LGHL,3.04,,,,-0.02,,,
2.7,3.15,2.61,3.04,107721,2020-07-14 01:00:00.000000,2020-07-14,LGHL,,,,,,,,
