open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
9.95,9.98,9.89,9.94,3093062,2020-05-05 01:00:00.000000,2020-05-05,ROCHU,9.95,9.95,9.95,9.95,9.97,9.99,9.95,9.95,9.95,9.99,10.0,9.95,9.95
9.95,9.95,9.91,9.95,70620,2020-05-06 01:00:00.000000,2020-05-06,ROCHU,9.96,9.95,9.95,9.97,9.99,9.95,9.95,9.95,9.99,10.0,9.95,9.95,10.05
9.96,9.96,9.95,9.95,1801,2020-05-07 01:00:00.000000,2020-05-07,ROCHU,9.98,9.95,9.97,9.99,9.95,9.95,9.95,9.99,10.0,9.95,9.95,10.05,10.05
9.98,9.98,9.95,9.95,24014,2020-05-08 01:00:00.000000,2020-05-08,ROCHU,9.98,9.97,9.99,9.95,9.95,9.95,9.99,10.0,9.95,9.95,10.05,10.05,10.02
9.98,9.98,9.96,9.97,18173,2020-05-11 01:00:00.000000,2020-05-11,ROCHU,9.97,9.99,9.95,9.95,9.95,9.99,10.0,9.95,9.95,10.05,10.05,10.02,9.98
9.97,10.0,9.97,9.99,86838,2020-05-12 01:00:00.000000,2020-05-12,ROCHU,9.98,9.95,9.95,9.95,9.99,10.0,9.95,9.95,10.05,10.05,10.02,9.98,9.98
9.98,9.99,9.95,9.95,22497,2020-05-13 01:00:00.000000,2020-05-13,ROCHU,9.95,9.95,9.95,9.99,10.0,9.95,9.95,10.05,10.05,10.02,9.98,9.98,10.05
9.95,9.95,9.95,9.95,2529,2020-05-14 01:00:00.000000,2020-05-14,ROCHU,9.95,9.95,9.99,10.0,9.95,9.95,10.05,10.05,10.02,9.98,9.98,10.05,10.05
9.95,9.95,9.95,9.95,5004,2020-05-15 01:00:00.000000,2020-05-15,ROCHU,9.95,9.99,10.0,9.95,9.95,10.05,10.05,10.02,9.98,9.98,10.05,10.05,10.05
9.95,10.0,9.95,9.99,106506,2020-05-18 01:00:00.000000,2020-05-18,ROCHU,9.98,10.0,9.95,9.95,10.05,10.05,10.02,9.98,9.98,10.05,10.05,10.05,10.05
9.98,10.0,9.98,10.0,103653,2020-05-19 01:00:00.000000,2020-05-19,ROCHU,9.96,9.95,9.95,10.05,10.05,10.02,9.98,9.98,10.05,10.05,10.05,10.05,9.98
9.96,10.0,9.95,9.95,11002,2020-05-20 01:00:00.000000,2020-05-20,ROCHU,9.96,9.95,10.05,10.05,10.02,9.98,9.98,10.05,10.05,10.05,10.05,9.98,9.98
10.0,10.05,10.0,10.05,1621,2020-05-22 01:00:00.000000,2020-05-22,ROCHU,10.0,10.05,10.02,9.98,9.98,10.05,10.05,10.05,10.05,9.98,9.98,10.02,10.03
10.02,10.02,10.02,10.02,693,2020-05-26 01:00:00.000000,2020-05-26,ROCHU,10.05,9.98,9.98,10.05,10.05,10.05,10.05,9.98,9.98,10.02,10.03,10.05,10.05
10.05,10.05,9.98,9.98,4400,2020-05-27 01:00:00.000000,2020-05-27,ROCHU,10.05,9.98,10.05,10.05,10.05,10.05,9.98,9.98,10.02,10.03,10.05,10.05,9.98
10.05,10.05,10.01,10.05,12256,2020-05-29 01:00:00.000000,2020-05-29,ROCHU,10.05,10.05,10.05,10.05,9.98,9.98,10.02,10.03,10.05,10.05,9.98,9.98,10.0
10.05,10.05,10.05,10.05,541,2020-06-01 01:00:00.000000,2020-06-01,ROCHU,10.05,10.05,10.05,9.98,9.98,10.02,10.03,10.05,10.05,9.98,9.98,10.0,10.0
10.02,10.02,9.97,9.98,16450,2020-06-04 01:00:00.000000,2020-06-04,ROCHU,9.98,9.98,10.02,10.03,10.05,10.05,9.98,9.98,10.0,10.0,10.0,10.02,10.0
9.98,9.98,9.98,9.98,1437,2020-06-05 01:00:00.000000,2020-06-05,ROCHU,10.03,10.02,10.03,10.05,10.05,9.98,9.98,10.0,10.0,10.0,10.02,10.0,10.1
10.03,10.03,10.02,10.02,2397,2020-06-08 01:00:00.000000,2020-06-08,ROCHU,10.03,10.03,10.05,10.05,9.98,9.98,10.0,10.0,10.0,10.02,10.0,10.1,10.1
10.03,10.03,10.03,10.03,810,2020-06-09 01:00:00.000000,2020-06-09,ROCHU,9.98,10.05,10.05,9.98,9.98,10.0,10.0,10.0,10.02,10.0,10.1,10.1,10.1
9.98,10.05,9.98,10.05,2573,2020-06-10 01:00:00.000000,2020-06-10,ROCHU,9.98,10.05,9.98,9.98,10.0,10.0,10.0,10.02,10.0,10.1,10.1,10.1,10.1
10.02,10.02,9.98,9.98,1344,2020-06-12 01:00:00.000000,2020-06-12,ROCHU,10.02,9.98,10.0,10.0,10.0,10.02,10.0,10.1,10.1,10.1,10.1,10.15,10.05
10.0,10.0,10.0,10.0,1800,2020-06-16 01:00:00.000000,2020-06-16,ROCHU,10.09,10.0,10.0,10.02,10.0,10.1,10.1,10.1,10.1,10.15,10.05,10.2,10.2
