open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
9.85,9.85,9.81,9.81,600,2020-01-02 01:00:00.000000,2020-01-02,SRAC,9.85,9.88,9.88,9.88,0.0,0.0,0.0,0.0
9.84,9.85,9.84,9.85,15000,2020-01-03 01:00:00.000000,2020-01-03,SRAC,9.88,9.97,9.88,9.89,0.0,0.01,0.0,0.01
9.84,9.88,9.84,9.88,225700,2020-01-08 01:00:00.000000,2020-01-08,SRAC,9.88,9.88,9.88,9.94,0.0,0.0,0.0,0.01
9.87,9.88,9.87,9.88,309296,2020-01-09 01:00:00.000000,2020-01-09,SRAC,9.97,9.88,9.89,9.94,0.01,0.0,0.0,0.01
9.9,10.0,9.89,9.97,120517,2020-01-17 01:00:00.000000,2020-01-17,SRAC,9.88,9.88,9.94,9.94,-0.0,-0.0,0.0,0.0
9.88,9.95,9.88,9.88,58100,2020-01-21 01:00:00.000000,2020-01-21,SRAC,9.88,9.89,9.94,9.94,0.0,0.0,0.01,0.01
9.97,9.97,9.88,9.88,13500,2020-01-23 01:00:00.000000,2020-01-23,SRAC,9.88,9.94,9.94,9.9,-0.01,-0.0,-0.0,-0.01
9.88,9.89,9.88,9.88,15000,2020-01-24 01:00:00.000000,2020-01-24,SRAC,9.89,9.94,9.94,9.91,0.0,0.01,0.01,0.0
9.88,9.89,9.88,9.89,829579,2020-01-27 01:00:00.000000,2020-01-27,SRAC,9.94,9.94,9.9,9.91,0.01,0.01,0.0,0.0
9.95,9.95,9.89,9.94,109020,2020-01-29 01:00:00.000000,2020-01-29,SRAC,9.94,9.94,9.91,9.9,-0.0,-0.0,-0.0,-0.01
9.89,9.94,9.89,9.94,329,2020-01-31 01:00:00.000000,2020-01-31,SRAC,9.94,9.9,9.91,9.9,0.01,0.0,0.0,0.0
9.94,9.94,9.94,9.94,656,2020-02-03 01:00:00.000000,2020-02-03,SRAC,9.94,9.91,9.9,9.92,0.0,-0.0,-0.0,-0.0
9.89,9.94,9.89,9.94,152750,2020-02-04 01:00:00.000000,2020-02-04,SRAC,9.9,9.91,9.9,9.85,0.0,0.0,0.0,-0.0
9.9,9.9,9.9,9.9,100050,2020-02-06 01:00:00.000000,2020-02-06,SRAC,9.91,9.9,9.92,9.85,0.0,0.0,0.0,-0.01
