date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2018-03-05,9.65,9.65,9.55,9.55,308200,9.55,9.55,9.57,9.6,-0.01,-0.01,-0.01,-0.01
2018-03-06,9.55,9.55,9.55,9.55,260000,9.55,9.55,9.57,9.6,0.0,0.0,0.0,0.01
2018-03-07,9.59,9.59,9.55,9.55,19630,9.55,9.57,9.6,9.59,-0.0,-0.0,0.0,0.0
2018-03-08,9.59,9.6,9.55,9.55,206200,9.55,9.57,9.6,9.59,-0.0,-0.0,0.0,0.0
2018-03-12,9.55,9.55,9.55,9.55,0,9.57,9.6,9.59,9.57,0.0,0.01,0.0,0.0
2018-03-13,9.57,9.57,9.57,9.57,6000,9.57,9.6,9.59,9.57,0.0,0.0,0.0,0.0
2018-03-14,9.57,9.57,9.57,9.57,0,9.6,9.59,9.57,9.58,0.0,0.0,0.0,0.0
2018-03-15,9.56,9.6,9.56,9.6,33170,9.6,9.59,9.57,9.6,0.0,0.0,0.0,0.0
2018-03-16,9.6,9.6,9.6,9.6,0,9.59,9.57,9.58,9.6,-0.0,-0.0,-0.0,0.0
2018-03-19,9.57,9.59,9.57,9.59,3226,9.59,9.57,9.6,9.6,0.0,0.0,0.0,0.0
2018-03-20,9.59,9.59,9.59,9.59,1230,9.57,9.58,9.6,9.55,-0.0,-0.0,0.0,-0.0
2018-03-21,9.58,9.58,9.57,9.57,3576,9.57,9.6,9.6,9.55,-0.0,0.0,0.0,-0.0
2018-03-22,9.57,9.57,9.56,9.57,8400,9.58,9.6,9.55,9.63,0.0,0.0,-0.0,0.01
2018-03-23,9.58,9.58,9.58,9.58,2600,9.6,9.6,9.55,9.65,0.0,0.0,-0.0,0.01
2018-03-26,9.58,9.6,9.58,9.6,5000,9.6,9.55,9.63,9.65,0.0,-0.0,0.01,0.01
2018-03-27,9.58,9.6,9.58,9.6,13900,9.6,9.55,9.65,9.6,0.0,-0.0,0.01,0.0
2018-03-28,9.6,9.6,9.6,9.6,0,9.55,9.63,9.65,9.65,-0.01,0.0,0.01,0.01
2018-03-29,9.61,9.65,9.55,9.55,14450,9.55,9.65,9.6,9.6,-0.01,0.0,-0.0,-0.0
2018-04-02,9.55,9.55,9.55,9.55,1,9.63,9.65,9.65,9.64,0.01,0.01,0.01,0.01
2018-04-03,9.65,9.65,9.63,9.63,423,9.65,9.6,9.6,9.6,0.0,-0.01,-0.01,-0.01
2018-04-04,9.65,9.65,9.65,9.65,100,9.65,9.65,9.64,9.6,0.0,0.0,-0.0,-0.01
2018-04-05,9.65,9.65,9.65,9.65,0,9.6,9.6,9.6,9.6,-0.01,-0.01,-0.01,-0.01
2018-04-06,9.6,9.6,9.6,9.6,300000,9.65,9.64,9.6,9.6,0.01,0.0,0.0,0.0
2018-04-09,9.65,9.65,9.65,9.65,800,9.6,9.6,9.6,9.6,-0.01,-0.01,-0.01,-0.01
2018-04-10,9.62,9.64,9.6,9.6,375800,9.64,9.6,9.6,9.6,0.0,-0.0,-0.0,-0.0
2018-04-11,9.65,9.65,9.6,9.64,101045,9.6,9.6,9.6,9.6,-0.01,-0.01,-0.01,-0.01
2018-04-12,9.59,9.6,9.59,9.6,128400,9.6,9.6,9.6,9.6,0.0,0.0,0.0,0.0
2018-04-13,9.6,9.6,9.6,9.6,0,9.6,9.6,9.6,9.6,0.0,0.0,0.0,0.0
2018-04-16,9.6,9.6,9.49,9.6,26767,9.6,9.6,9.6,9.6,0.0,0.0,0.0,0.0
2018-04-17,9.6,9.6,9.6,9.6,0,9.6,9.6,9.6,9.6,0.0,0.0,0.0,0.0
2018-04-18,9.6,9.6,9.6,9.6,0,9.6,9.6,9.6,9.6,0.0,0.0,0.0,0.0
2018-04-19,9.6,9.6,9.6,9.6,0,9.6,9.6,9.6,9.62,0.0,0.0,0.0,0.0
2018-04-20,9.6,9.6,9.6,9.6,0,9.6,9.6,9.6,9.62,0.0,0.0,0.0,0.0
2018-04-23,9.6,9.6,9.6,9.6,0,9.6,9.6,9.62,9.6,0.0,0.0,0.0,0.0
2018-04-24,9.55,9.6,9.55,9.6,1100,9.6,9.6,9.62,9.6,0.01,0.01,0.01,0.01
2018-04-25,9.6,9.6,9.6,9.6,0,9.6,9.62,9.6,9.6,0.0,0.0,0.0,0.0
2018-04-26,9.6,9.6,9.6,9.6,0,9.6,9.62,9.6,9.6,0.0,0.0,0.0,0.0
2018-04-27,9.6,9.6,9.6,9.6,0,9.62,9.6,9.6,9.62,0.0,0.0,0.0,0.0
2018-04-30,9.6,9.62,9.6,9.62,602,9.62,9.6,9.6,9.61,0.0,0.0,0.0,0.0
2018-05-01,9.62,9.62,9.62,9.62,0,9.6,9.6,9.62,9.61,-0.0,-0.0,0.0,-0.0
2018-05-02,9.6,9.6,9.6,9.6,8000,9.6,9.6,9.61,9.59,0.0,0.0,0.0,-0.0
2018-05-03,9.6,9.6,9.6,9.6,0,9.6,9.62,9.61,9.59,0.0,0.0,0.0,-0.0
